id,carat,cut,color,clarity,depth,table,x,y,z,price
4884,1.31,Premium,I,SI1,61.7,59.0,7.01,6.96,4.31,5562
4885,0.43,Ideal,D,VS2,60.9,57.0,4.91,4.86,2.98,1018
4886,1.2,Premium,F,VS2,62.7,59.0,6.75,6.7,4.22,7911
4887,0.75,Ideal,F,VS1,61.0,55.0,5.85,5.9,3.59,2757
4888,1.2,Ideal,G,SI2,62.2,54.0,6.8,6.74,4.21,6890
4889,2.01,Good,G,SI1,63.1,58.0,8.01,7.99,5.03,18515
4890,0.26,Ideal,E,VS1,62.4,56.0,4.07,4.1,2.55,622
4891,2.05,Premium,I,SI1,61.4,58.0,8.16,8.18,5.03,15802
4892,0.27,Premium,E,VVS2,61.2,58.0,4.16,4.18,2.56,612
4893,0.52,Ideal,D,VS2,62.4,55.0,5.11,5.14,3.2,1817
4894,0.7,Very Good,E,VS2,63.4,58.0,5.61,5.58,3.55,2473
4895,0.42,Ideal,D,SI1,62.3,55.0,4.8,4.78,2.99,1040
4896,1.18,Ideal,F,VS2,61.1,57.0,6.87,6.81,4.18,8346
4897,2.01,Premium,J,VS2,61.3,58.0,8.09,8.16,4.98,12883
4898,0.9,Very Good,G,SI2,62.8,59.0,6.1,6.03,3.81,3032
4899,0.33,Premium,I,VVS2,60.2,58.0,4.49,4.47,2.7,743
4900,1.02,Good,F,SI2,57.6,58.0,6.66,6.62,3.81,4204
4901,0.58,Ideal,G,VVS1,60.8,56.0,5.41,5.43,3.29,2573
4902,0.53,Ideal,H,SI1,61.8,56.0,5.19,5.17,3.21,1220
4903,0.57,Ideal,E,VS2,62.4,55.0,5.28,5.31,3.3,1876
4904,0.5,Very Good,G,SI1,63.2,59.0,5.04,5.07,3.19,1181
4905,0.31,Very Good,F,VS2,61.8,57.0,4.33,4.36,2.68,500
4906,1.12,Ideal,H,SI1,62.4,56.0,6.71,6.63,4.15,5748
4907,0.3,Premium,D,SI1,61.3,59.0,4.32,4.29,2.64,709
4908,0.72,Ideal,G,SI2,61.6,56.0,5.73,5.77,3.54,2177
4909,1.01,Ideal,D,SI2,61.1,57.0,6.52,6.49,3.97,5430
4910,1.34,Premium,H,VVS2,61.6,59.0,7.02,7.06,4.33,10211
4911,0.51,Very Good,G,VS2,62.4,57.0,5.09,5.07,3.17,1438
4912,1.24,Ideal,G,SI2,61.1,56.0,6.97,6.98,4.26,5783
4913,1.0,Very Good,H,SI1,60.6,60.0,6.38,6.43,3.89,4871
4914,0.35,Ideal,F,SI2,60.6,57.0,4.58,4.54,2.76,630
4915,2.25,Premium,H,SI1,62.2,58.0,8.36,8.3,5.17,17118
4916,0.3,Ideal,F,VS2,61.3,55.0,4.34,4.31,2.65,776
4917,1.26,Ideal,H,SI1,62.0,57.0,6.93,6.89,4.29,7127
4918,1.01,Premium,E,VS2,61.6,58.0,6.44,6.49,3.98,5882
4919,0.5,Ideal,G,VVS2,62.3,55.0,5.07,5.04,3.15,1868
4920,1.15,Ideal,H,SI1,62.4,57.0,6.74,6.66,4.18,5595
4921,0.92,Very Good,E,SI1,61.9,58.0,6.25,6.3,3.88,4749
4922,1.59,Premium,I,SI1,61.5,58.0,7.47,7.54,4.62,9088
4923,2.38,Very Good,H,SI2,62.8,56.0,8.49,8.45,5.32,14268
4924,1.74,Ideal,H,SI2,62.2,57.0,7.67,7.63,4.76,8037
4925,0.9,Ideal,G,SI2,62.3,56.0,6.15,6.19,3.85,3475
4926,1.51,Very Good,E,SI1,60.9,61.0,7.44,7.39,4.52,13215
4927,2.01,Good,J,SI1,63.6,61.0,7.97,8.05,5.06,13254
4928,0.41,Ideal,F,SI1,62.2,55.0,4.77,4.74,2.96,969
4929,0.33,Premium,E,SI1,61.4,59.0,4.45,4.49,2.75,743
4930,0.34,Ideal,G,VVS1,61.6,57.0,4.52,4.47,2.77,1114
4931,0.9,Very Good,I,VS2,59.6,59.0,6.31,6.27,3.73,3198
4932,0.34,Very Good,D,SI1,61.2,56.0,4.54,4.59,2.79,624
4933,1.31,Ideal,G,VS2,62.8,55.0,6.97,6.94,4.37,9224
4934,0.54,Ideal,E,SI2,61.2,56.0,5.27,5.31,3.22,1240
4935,0.73,Ideal,G,VS1,62.1,56.0,5.75,5.8,3.58,2950
4936,0.31,Ideal,J,VS1,61.9,54.0,4.32,4.35,2.68,434
4937,0.3,Ideal,F,IF,61.8,58.0,4.29,4.32,2.66,886
4938,0.36,Ideal,E,VS1,61.7,56.0,4.59,4.55,2.82,1092
4939,0.59,Ideal,E,VS2,62.1,54.0,5.37,5.4,3.34,1822
4940,0.76,Premium,F,VS2,62.7,58.0,5.81,5.78,3.63,2790
4941,0.71,Good,G,VS2,58.1,59.0,5.84,5.88,3.42,2713
4942,1.51,Ideal,I,SI1,62.1,56.0,7.3,7.36,4.56,10071
4943,0.7,Ideal,J,VS2,60.6,57.0,5.77,5.8,3.51,1874
4944,2.03,Ideal,J,VS2,62.3,55.0,8.13,8.17,5.06,14199
4945,0.54,Ideal,G,VS1,60.6,56.0,5.29,5.26,3.2,1792
4946,1.01,Ideal,E,VVS2,62.7,56.0,6.34,6.46,4.01,9132
4947,1.0,Very Good,G,VVS2,63.5,59.0,6.34,6.29,4.02,6732
4948,0.51,Ideal,G,VS1,61.9,56.0,5.11,5.13,3.17,1655
4949,0.9,Ideal,I,VS2,60.3,56.0,6.32,6.28,3.79,4098
4950,1.57,Ideal,F,VS2,62.2,55.0,7.36,7.44,4.61,12968
4951,0.5,Very Good,H,SI2,63.2,54.0,5.02,5.05,3.18,1142
4952,0.32,Premium,D,VVS2,61.1,59.0,4.39,4.43,2.7,842
4953,1.51,Premium,G,VS1,61.4,60.0,7.33,7.37,4.51,14375
4954,0.42,Very Good,I,VVS2,62.8,58.0,4.75,4.76,2.99,807
4955,0.77,Premium,D,VS2,61.3,60.0,5.83,5.91,3.61,3481
4956,0.9,Premium,E,SI1,60.4,60.0,6.17,6.22,3.74,4242
4957,1.01,Premium,G,VVS2,60.9,56.0,6.46,6.41,3.92,7666
4958,1.01,Premium,D,SI2,60.9,61.0,6.5,6.54,3.96,4004
4959,1.12,Premium,G,VS2,59.8,59.0,6.83,6.77,4.07,6756
4960,0.54,Good,D,SI1,63.8,57.0,5.08,5.12,3.25,1786
4961,0.72,Very Good,H,VS2,62.8,59.0,5.68,5.72,3.59,2230
4962,0.31,Ideal,F,SI1,62.5,56.0,4.33,4.37,2.72,497
4963,1.0,Good,G,SI2,62.4,58.0,6.26,6.32,3.93,3242
4964,0.31,Ideal,G,IF,61.4,54.0,4.37,4.39,2.69,891
4965,0.53,Good,H,VS2,63.8,56.0,5.15,5.12,3.27,1421
4966,0.3,Ideal,G,VVS2,61.6,57.0,4.3,4.34,2.66,665
4967,0.3,Ideal,G,VVS2,62.2,54.0,4.34,4.36,2.7,665
4968,1.08,Ideal,F,SI1,62.5,56.0,6.52,6.57,4.09,6321
4969,0.32,Very Good,F,VS2,63.0,55.0,4.37,4.33,2.74,828
4970,1.0,Ideal,F,SI1,62.0,57.0,6.4,6.43,3.98,5292
4971,1.51,Ideal,G,VVS2,61.7,55.0,7.33,7.37,4.54,15152
4972,2.01,Very Good,J,SI1,61.6,60.0,8.1,8.14,5.01,11726
4973,1.01,Good,F,SI2,61.1,61.0,6.43,6.48,3.94,4890
4974,1.64,Ideal,G,VS2,62.8,57.0,7.59,7.55,4.74,13929
4975,0.72,Ideal,G,SI2,61.7,56.0,5.76,5.79,3.56,1217
4976,1.1,Premium,I,SI1,61.3,60.0,6.59,6.64,4.06,4366
4977,0.33,Ideal,F,VVS1,61.6,56.0,4.46,4.45,2.74,979
4978,1.2,Very Good,H,SI1,62.3,56.0,6.8,6.76,4.23,5914
4979,0.3,Premium,H,VVS1,60.9,58.0,4.34,4.32,2.64,878
4980,0.35,Fair,F,SI1,60.8,66.0,4.62,4.55,2.79,780
4981,1.52,Very Good,G,VS2,62.2,59.0,7.31,7.34,4.56,13508
4982,0.7,Premium,D,VS2,61.9,58.0,5.63,5.67,3.5,2923
4983,0.71,Ideal,I,VVS2,61.9,56.0,5.71,5.73,3.53,2474
4984,0.7,Premium,E,VS1,61.4,59.0,5.72,5.69,3.5,3220
4985,0.61,Ideal,D,VS2,61.2,56.0,5.51,5.56,3.38,2152
4986,1.5,Very Good,E,SI1,63.1,56.0,7.23,7.27,4.57,9745
4987,1.01,Very Good,E,SI1,62.9,56.0,6.35,6.41,4.01,4579
4988,0.5,Very Good,F,VS2,63.3,57.0,5.02,5.05,3.19,1436
4989,1.0,Good,D,SI2,63.8,53.0,6.34,6.39,4.07,4313
4990,0.41,Very Good,F,SI1,61.0,58.0,4.79,4.82,2.93,945
4991,0.67,Premium,G,VS1,62.2,61.0,5.56,5.54,3.44,2448
4992,1.24,Ideal,E,VVS2,62.3,57.0,6.85,6.88,4.27,11431
4993,0.35,Ideal,I,VS2,62.5,56.0,4.48,4.53,2.82,608
4994,0.55,Premium,D,SI1,59.6,60.0,5.31,5.36,3.16,1764
4995,1.21,Ideal,D,VS2,61.9,56.0,6.89,6.83,4.24,8154
4996,1.2,Premium,H,SI1,62.0,59.0,6.75,6.71,4.18,6762
4997,0.32,Very Good,G,VVS2,61.6,59.0,4.33,4.38,2.69,621
4998,0.72,Ideal,I,VS1,61.6,57.0,5.73,5.76,3.54,2421
4999,0.36,Ideal,D,VVS2,61.8,56.0,4.57,4.6,2.83,1162
5000,0.53,Ideal,D,SI2,60.9,57.0,5.2,5.21,3.16,1350
5001,0.5,Premium,F,VS1,62.4,58.0,5.08,5.06,3.17,1744
5002,1.02,Very Good,D,SI1,62.8,59.0,6.4,6.44,4.02,6435
5003,0.68,Very Good,F,VS1,61.3,56.0,5.64,5.68,3.47,2724
5004,0.23,Very Good,D,VVS2,62.8,57.0,3.89,3.91,2.44,485
5005,0.38,Ideal,E,IF,62.0,56.0,4.59,4.63,2.86,1300
5006,0.27,Ideal,G,VS1,61.2,56.0,4.18,4.22,2.57,487
5007,1.03,Good,F,SI1,63.1,60.0,6.36,6.43,4.03,5050
5008,1.01,Premium,F,SI2,62.5,61.0,6.37,6.32,3.96,4017
5009,0.57,Ideal,J,VS2,61.9,58.0,5.31,5.33,3.3,1057
5010,0.33,Ideal,F,VVS2,61.7,57.0,4.45,4.47,2.75,761
5011,0.51,Very Good,G,VS2,62.8,55.0,5.14,5.17,3.23,1337
5012,1.16,Ideal,H,VS2,62.3,58.0,6.7,6.75,4.19,6302
5013,0.52,Premium,E,VS2,62.4,58.0,5.13,5.16,3.21,1689
5014,0.3,Very Good,G,SI1,62.1,62.0,4.3,4.25,2.65,574
5015,0.94,Premium,G,VS2,61.9,56.0,6.32,6.27,3.9,4338
5016,1.24,Ideal,H,VS2,61.9,58.0,6.91,6.87,4.26,7078
5017,0.74,Ideal,G,VS1,61.1,57.0,5.86,5.9,3.59,3354
5018,1.06,Ideal,E,SI2,61.8,55.0,6.53,6.55,4.04,4511
5019,1.31,Premium,I,SI1,62.4,57.0,7.03,6.95,4.36,6383
5020,0.5,Ideal,D,VS2,61.4,56.0,5.12,5.14,3.15,1633
5021,0.41,Ideal,G,VVS2,61.3,56.0,4.8,4.77,2.93,1031
5022,0.57,Ideal,E,VS2,62.1,56.0,5.34,5.32,3.31,1801
5023,0.52,Ideal,E,SI1,61.9,55.0,5.17,5.19,3.21,1370
5024,1.01,Ideal,J,VS2,62.0,56.0,6.43,6.4,3.97,3858
5025,0.3,Ideal,F,IF,62.1,56.0,4.29,4.32,2.67,886
5026,0.71,Ideal,G,VS1,60.8,56.0,5.8,5.76,3.52,2679
5027,1.03,Very Good,D,SI2,61.2,59.0,6.52,6.49,3.97,4580
5028,0.7,Very Good,F,SI1,62.9,56.0,5.57,5.65,3.54,2023
5029,1.52,Ideal,G,VS1,62.2,56.4,7.38,7.34,4.58,13654
5030,0.72,Ideal,D,SI2,61.2,58.0,5.79,5.83,3.56,2671
5031,0.34,Premium,G,VS2,60.3,54.0,4.56,4.53,2.74,765
5032,1.01,Premium,G,VS2,61.9,58.0,6.45,6.41,3.98,6065
5033,1.63,Ideal,G,VVS2,61.9,57.0,7.54,7.61,4.67,16407
5034,0.73,Ideal,E,SI1,62.8,57.0,5.77,5.72,3.6,2721
5035,1.52,Ideal,I,VS2,62.1,58.0,7.35,7.4,4.58,9276
5036,0.78,Ideal,H,SI2,62.4,56.0,5.86,5.9,3.66,1775
5037,1.39,Ideal,G,VS2,62.2,56.0,7.22,7.16,4.47,9432
5038,1.52,Premium,I,VS2,61.7,58.0,7.39,7.44,4.57,8688
5039,1.12,Ideal,F,SI1,61.3,57.0,6.67,6.7,4.09,6124
5040,0.46,Ideal,E,VS2,61.3,56.0,5.01,5.03,3.08,1286
5041,2.25,Ideal,D,SI2,61.6,55.0,8.45,8.38,5.19,18128
5042,0.77,Ideal,F,VS2,62.4,55.0,5.85,5.89,3.67,3033
5043,0.34,Ideal,D,VS2,61.8,55.0,4.5,4.51,2.78,805
5044,1.01,Premium,D,SI1,62.1,60.0,6.36,6.39,3.96,6062
5045,1.06,Very Good,D,SI2,63.0,57.0,6.52,6.47,4.11,4510
5046,0.31,Very Good,E,SI1,63.5,58.0,4.34,4.31,2.74,698
5047,0.51,Very Good,E,VS1,60.2,57.0,5.16,5.2,3.13,1799
5048,0.43,Premium,H,SI2,60.6,60.0,4.88,4.83,2.95,871
5049,0.53,Ideal,E,VS2,61.9,57.0,5.2,5.18,3.21,1956
5050,0.41,Good,G,VS2,63.2,57.0,4.69,4.7,2.97,827
5051,0.3,Ideal,D,VVS2,61.3,55.0,4.36,4.38,2.68,777
5052,1.31,Ideal,I,IF,62.5,56.0,6.99,7.03,4.39,10098
5053,0.91,Premium,J,VS2,62.4,59.0,6.16,6.13,3.84,3417
5054,1.52,Ideal,I,VS1,62.4,56.0,7.3,7.36,4.58,9007
5055,0.7,Ideal,E,SI1,61.1,56.0,5.78,5.76,3.52,2822
5056,1.5,Premium,I,VS1,61.3,59.0,7.37,7.3,4.51,10639
5057,1.7,Very Good,I,VS1,59.8,58.0,7.69,7.73,4.59,11221
5058,1.09,Ideal,G,SI2,62.9,57.0,6.52,6.55,4.11,5051
5059,1.03,Very Good,I,VS1,62.0,56.0,6.41,6.53,4.01,4889
5060,1.5,Good,H,SI2,60.8,61.0,7.32,7.3,4.45,7672
5061,2.01,Ideal,I,SI2,62.3,56.0,8.11,8.0,5.02,15291
5062,0.31,Ideal,G,VVS1,62.1,54.0,4.35,4.31,2.69,1046
5063,0.5,Ideal,E,SI2,62.9,56.0,5.07,5.03,3.18,1232
5064,1.03,Ideal,F,SI2,60.6,57.0,6.59,6.62,3.99,4308
5065,0.36,Ideal,F,SI1,62.2,54.0,4.59,4.57,2.85,704
5066,0.72,Ideal,G,SI1,62.1,57.0,5.74,5.77,3.57,2423
5067,0.7,Ideal,H,VVS2,60.7,57.0,5.73,5.76,3.49,2893
5068,0.55,Premium,G,VVS1,61.7,58.0,5.23,5.28,3.24,1950
5069,0.61,Very Good,F,SI2,63.4,57.0,5.37,5.43,3.43,1311
5070,0.58,Ideal,G,VS1,61.6,56.0,5.37,5.41,3.32,2131
5071,0.53,Ideal,F,SI1,62.0,54.0,5.19,5.24,3.23,1260
5072,0.3,Very Good,G,VVS2,63.4,59.0,4.29,4.26,2.71,878
5073,0.72,Very Good,G,VS2,63.2,58.0,5.71,5.68,3.59,2530
5074,0.32,Ideal,D,VS1,62.1,55.0,4.45,4.42,2.75,756
5075,0.76,Ideal,I,VS1,61.5,56.0,5.87,5.9,3.62,2947
5076,2.01,Premium,J,VS2,60.9,60.0,8.14,8.05,4.94,12271
5077,0.4,Very Good,G,SI1,62.9,56.0,4.73,4.7,2.96,737
5078,1.02,Ideal,D,SI1,61.7,56.0,6.46,6.51,4.0,5908
5079,0.74,Very Good,G,SI2,62.8,57.0,5.73,5.76,3.61,2333
5080,0.32,Premium,E,VVS1,61.5,58.0,4.39,4.42,2.71,813
5081,1.5,Premium,E,VS2,59.5,58.0,7.4,7.45,4.43,14453
5082,0.32,Ideal,D,SI1,61.0,57.0,4.41,4.44,2.7,669
5083,2.11,Ideal,H,SI1,60.6,57.0,8.32,8.37,5.05,17392
5084,0.91,Good,D,SI2,64.1,58.0,6.12,6.08,3.91,3639
5085,0.52,Very Good,D,VS1,62.3,60.0,5.14,5.17,3.21,2092
5086,1.02,Ideal,G,VS2,61.7,57.0,6.47,6.44,3.98,5463
5087,0.31,Ideal,H,VS2,62.1,55.0,4.36,4.4,2.72,489
5088,0.31,Premium,G,VS1,61.3,58.0,4.37,4.35,2.67,802
5089,0.4,Very Good,D,SI2,63.3,57.0,4.69,4.66,2.96,626
5090,0.41,Premium,G,VS2,61.6,59.0,4.85,4.78,2.97,1061
5091,1.06,Ideal,G,VVS2,61.8,57.0,6.53,6.55,4.04,8911
5092,0.9,Very Good,G,VS2,62.7,56.0,6.1,6.16,3.84,4137
5093,2.11,Premium,J,SI2,62.4,58.0,8.16,8.09,5.08,12657
5094,0.31,Ideal,G,VVS2,61.9,54.0,4.32,4.34,2.69,687
5095,0.7,Very Good,G,SI1,60.3,59.0,5.71,5.75,3.46,2294
5096,1.0,Premium,G,VVS2,62.9,58.0,6.46,6.41,4.05,7504
5097,0.74,Ideal,I,VVS2,61.5,57.0,5.81,5.84,3.59,2573
5098,0.38,Ideal,E,VVS2,61.1,56.0,4.66,4.68,2.86,1166
5099,1.51,Premium,G,VS1,62.3,58.0,7.32,7.29,4.55,14445
5100,1.09,Ideal,G,VS1,60.4,54.0,6.74,6.77,4.08,7589
5101,1.59,Very Good,H,VS2,62.5,57.0,7.44,7.47,4.67,11786
5102,1.02,Premium,D,VS1,62.1,58.0,6.41,6.38,3.97,7924
5103,0.76,Ideal,G,SI2,61.9,56.0,5.87,5.9,3.65,2568
5104,1.22,Ideal,D,SI1,60.5,56.0,6.93,6.95,4.21,8716
5105,0.71,Good,G,SI1,63.7,56.0,5.63,5.7,3.61,2388
5106,1.01,Ideal,F,VS1,61.8,55.0,6.43,6.48,3.99,6999
5107,0.9,Good,I,VS2,63.9,62.0,6.01,6.03,3.85,3145
5108,0.75,Good,F,SI2,63.7,60.0,5.77,5.68,3.66,2409
5109,1.02,Very Good,I,SI1,63.5,57.0,6.38,6.35,4.04,4198
5110,0.71,Ideal,F,SI1,61.9,55.0,5.71,5.74,3.54,2598
5111,0.25,Ideal,I,IF,61.9,54.0,4.08,4.11,2.53,575
5112,1.23,Ideal,F,VS2,62.8,57.0,6.84,6.79,4.28,5407
5113,0.25,Ideal,E,VVS1,62.1,57.0,4.0,4.03,2.51,586
5114,1.0,Good,F,VS2,59.2,62.0,6.52,6.56,3.87,6487
5115,1.07,Ideal,F,VS1,62.1,55.0,6.54,6.61,4.08,7955
5116,0.9,Ideal,H,VS1,62.1,56.0,6.18,6.23,3.86,3960
5117,0.58,Premium,F,VS1,61.8,56.0,5.39,5.35,3.32,2289
5118,0.7,Ideal,F,SI2,62.1,57.0,5.7,5.73,3.55,1929
5119,0.52,Ideal,H,SI1,60.9,56.0,5.23,5.2,3.18,1294
5120,0.5,Ideal,E,SI1,62.1,56.0,5.05,5.08,3.15,1323
5121,0.9,Good,E,SI1,61.8,65.0,6.14,6.12,3.78,4138
5122,1.11,Premium,F,SI1,60.4,58.0,6.7,6.65,4.04,5121
5123,0.78,Ideal,H,VS2,61.5,57.0,5.89,5.92,3.64,3168
5124,0.32,Ideal,D,SI1,61.2,54.0,4.44,4.48,2.73,672
5125,0.9,Very Good,D,SI1,63.0,58.0,6.13,6.16,3.86,4052
5126,0.59,Ideal,E,VS2,60.9,57.0,5.44,5.5,3.32,1793
5127,0.31,Ideal,D,SI1,61.7,56.0,4.36,4.39,2.7,766
5128,0.7,Good,F,SI1,63.1,56.0,5.61,5.66,3.55,2059
5129,0.4,Ideal,D,VS1,62.2,56.0,4.73,4.66,2.93,984
5130,0.54,Ideal,F,VS2,61.0,58.0,5.25,5.27,3.2,1621
5131,0.39,Good,I,SI1,63.5,56.0,4.61,4.65,2.94,539
5132,0.91,Very Good,D,SI2,61.3,57.0,6.25,6.28,3.85,4395
5133,1.11,Premium,G,VVS2,61.9,57.0,6.7,6.66,4.12,8364
5134,0.66,Ideal,F,SI1,62.4,57.0,5.59,5.55,3.48,2049
5135,0.42,Premium,G,SI1,59.8,62.0,4.88,4.84,2.94,882
5136,0.97,Very Good,E,SI1,60.3,62.0,6.36,6.35,3.81,4830
5137,0.4,Good,E,SI1,63.6,56.0,4.69,4.65,2.96,882
5138,0.5,Ideal,J,VS2,62.3,57.0,5.11,5.06,3.17,1062
5139,1.51,Premium,D,SI2,61.8,58.0,7.35,7.38,4.56,11666
5140,1.56,Ideal,D,VS1,61.6,56.0,7.46,7.49,4.61,9856
5141,1.02,Ideal,E,SI2,61.9,55.0,6.48,6.52,4.01,4666
5142,0.25,Ideal,H,VS1,62.1,55.0,4.02,4.05,2.5,445
5143,0.51,Premium,F,SI1,58.0,60.0,5.3,5.22,3.04,1265
5144,1.71,Premium,I,VS1,61.7,58.0,7.7,7.64,4.72,12061
5145,1.01,Very Good,F,VVS1,62.4,57.0,6.36,6.43,3.99,9810
5146,1.51,Ideal,J,VS2,62.5,56.0,7.33,7.29,4.57,7346
5147,0.4,Good,E,SI1,63.3,58.0,4.63,4.66,2.94,682
5148,1.58,Ideal,I,VS2,60.8,57.0,7.57,7.52,4.57,10098
5149,0.34,Ideal,H,VVS2,62.1,55.0,4.46,4.5,2.78,699
5150,0.71,Very Good,I,SI1,63.5,59.0,5.65,5.61,3.58,2144
5151,0.51,Ideal,G,VVS2,61.5,57.0,5.1,5.15,3.15,1808
5152,0.3,Ideal,F,VS1,62.0,55.0,4.31,4.34,2.68,652
5153,0.45,Premium,E,SI2,61.6,59.0,4.91,4.95,3.04,990
5154,0.34,Ideal,E,VS2,61.2,57.0,4.53,4.49,2.76,956
5155,0.42,Ideal,G,VS2,62.4,56.0,4.83,4.76,2.99,1087
5156,1.12,Ideal,E,SI2,60.9,57.0,6.66,6.73,4.08,5204
5157,0.36,Premium,G,VVS2,61.6,58.0,4.55,4.58,2.81,852
5158,0.3,Very Good,G,SI2,62.0,61.0,4.23,4.27,2.64,394
5159,0.67,Ideal,D,SI1,60.9,54.0,5.61,5.59,3.4,2006
5160,1.24,Premium,H,VVS1,62.3,59.0,6.89,6.84,4.28,9720
5161,0.54,Ideal,E,SI1,62.1,56.0,5.2,5.23,3.24,1628
5162,0.3,Premium,D,SI1,62.7,58.0,4.26,4.29,2.68,709
5163,0.47,Very Good,D,SI1,62.7,57.0,4.96,5.02,3.13,1262
5164,0.68,Good,H,VVS1,60.2,64.0,5.67,5.78,3.43,2317
5165,1.21,Premium,H,VS2,62.9,56.0,6.78,6.74,4.26,6888
5166,1.24,Ideal,H,VS1,62.1,56.0,6.86,6.91,4.27,7441
5167,0.31,Ideal,G,VS1,62.0,55.0,4.39,4.36,2.71,802
5168,0.32,Very Good,E,SI1,61.6,61.0,4.4,4.37,2.7,504
5169,0.56,Very Good,I,VS2,62.3,58.0,5.27,5.31,3.29,1333
5170,1.51,Good,E,SI2,63.1,59.0,7.24,7.26,4.57,9541
5171,0.34,Premium,G,VS2,61.0,58.0,4.51,4.49,2.74,596
5172,0.41,Ideal,E,VS1,60.6,56.0,4.83,4.79,2.91,1276
5173,0.4,Ideal,E,VS1,61.7,56.0,4.74,4.71,2.92,968
5174,1.05,Ideal,G,VS1,62.3,56.0,6.52,6.49,4.06,7699
5175,1.02,Premium,G,SI1,58.4,57.0,6.65,6.67,3.9,5014
5176,0.23,Ideal,E,VVS2,62.8,54.0,3.94,3.97,2.47,530
5177,2.0,Very Good,G,SI1,63.0,56.0,8.01,7.93,5.02,17024
5178,1.01,Premium,D,SI2,59.6,62.0,6.57,6.47,3.89,4256
5179,0.33,Ideal,D,VVS1,61.2,57.0,4.45,4.49,2.73,1151
5180,1.23,Premium,I,SI1,62.4,58.0,6.82,6.77,4.25,5016
5181,1.0,Very Good,H,SI1,63.3,56.0,6.3,6.39,4.02,4558
5182,0.43,Ideal,H,SI2,61.2,56.0,4.87,4.9,2.99,935
5183,1.01,Very Good,D,VS2,63.3,59.0,6.36,6.32,4.0,7311
5184,0.72,Very Good,E,SI1,63.2,58.0,5.72,5.68,3.61,2803
5185,0.3,Ideal,I,SI1,62.2,57.0,4.25,4.3,2.66,442
5186,0.71,Very Good,E,SI1,59.9,59.0,5.74,5.79,3.45,2759
5187,0.9,Ideal,E,SI1,61.8,57.0,6.15,6.19,3.81,4763
5188,0.9,Premium,G,VS2,58.3,58.0,6.3,6.24,3.64,4373
5189,0.32,Ideal,F,VVS2,61.0,57.0,4.46,4.43,2.71,778
5190,1.02,Ideal,F,SI1,61.8,56.0,6.45,6.49,3.99,5728
5191,2.03,Ideal,I,VS1,62.9,57.0,8.08,8.03,5.06,17530
5192,0.72,Ideal,F,VS2,62.0,54.8,5.73,5.76,3.56,3437
5193,1.21,Premium,I,VS2,61.8,59.0,6.85,6.82,4.22,5777
5194,1.01,Premium,F,VS2,62.1,56.0,6.39,6.35,3.96,6855
5195,1.5,Premium,H,SI1,61.4,60.0,7.34,7.3,4.48,9727
5196,0.3,Premium,E,SI1,61.2,60.0,4.28,4.25,2.61,614
5197,0.3,Premium,G,VVS2,62.0,59.0,4.2,4.24,2.62,684
5198,1.76,Premium,D,SI1,61.3,59.0,7.79,7.72,4.74,14165
5199,0.41,Ideal,G,SI2,62.6,57.0,4.74,4.71,2.96,683
5200,0.33,Ideal,F,IF,60.6,57.0,4.45,4.49,2.72,914
5201,1.13,Ideal,F,IF,62.0,57.0,6.66,6.69,4.13,11705
5202,1.2,Ideal,I,SI1,62.9,57.0,6.79,6.74,4.26,5590
5203,0.4,Very Good,G,SI1,62.8,54.0,4.72,4.76,2.98,700
5204,0.53,Premium,F,SI1,61.5,58.0,5.21,5.18,3.2,1376
5205,1.08,Ideal,G,VS1,62.0,56.0,6.59,6.64,4.1,7338
5206,0.3,Premium,D,VS2,61.4,60.0,4.31,4.28,2.64,670
5207,0.53,Premium,F,VVS2,61.3,58.0,5.22,5.26,3.21,2169
5208,0.71,Ideal,G,VS2,60.5,56.0,5.79,5.76,3.5,2852
5209,0.31,Very Good,D,SI2,63.1,58.0,4.32,4.29,2.71,460
5210,0.43,Ideal,G,VVS1,61.7,56.0,4.87,4.89,3.01,1207
5211,0.43,Ideal,E,VS1,61.1,57.0,4.85,4.83,2.96,1018
5212,1.0,Ideal,E,VS2,62.3,57.0,6.39,6.35,3.96,6272
5213,1.04,Premium,G,VS1,62.7,58.0,6.48,6.41,4.04,7305
5214,0.39,Ideal,E,IF,62.0,54.0,4.67,4.71,2.91,1313
5215,0.31,Ideal,H,VS1,60.5,57.0,4.39,4.42,2.67,698
5216,0.35,Good,H,SI1,63.7,57.0,4.53,4.57,2.9,522
5217,0.6,Fair,E,SI2,61.2,54.0,5.5,5.48,3.35,2600
5218,1.0,Premium,H,SI1,62.4,62.0,6.37,6.34,3.96,3689
5219,1.03,Ideal,D,SI1,61.8,57.0,6.47,6.51,4.01,6533
5220,0.38,Ideal,D,VS2,62.4,54.0,4.64,4.68,2.91,783
5221,0.38,Premium,D,SI1,62.4,58.0,4.62,4.66,2.89,884
5222,0.7,Ideal,F,SI1,62.4,57.0,5.65,5.68,3.54,2437
5223,1.01,Premium,I,SI1,62.8,58.0,6.46,6.33,4.01,4077
5224,0.31,Very Good,D,SI2,62.0,56.0,4.34,4.37,2.7,462
5225,1.22,Premium,G,SI1,61.6,60.0,6.84,6.85,4.22,6692
5226,0.58,Very Good,D,SI1,63.2,59.0,5.31,5.34,3.36,1636
5227,0.5,Ideal,E,SI2,63.0,54.0,5.11,5.07,3.21,1154
5228,0.72,Premium,J,VS2,62.5,58.0,5.77,5.72,3.59,1971
